Parlay_ID,Legs,Leg_Number,Player,Prop_Type,Line,Odds_Type,Team,Opponent,Combined_Probability,Min_Payout_10pct_EV,Min_Payout_5pct_EV,Min_Payout_Breakeven,Estimated_Payout,Estimated_EV,Actual_Payout,Action
1,2,1,Dylan Larkin,POINTS,0.5,GOBLIN,DET,UNK,66.9%,1.64x,1.57x,1.50x,3.0x,+100.6%,,
1,2,2,William Eklund,POINTS,1.5,DEMON,SJ,UNK,66.9%,1.64x,1.57x,1.50x,3.0x,+100.6%,,
2,2,1,Jack Hughes,POINTS,0.5,GOBLIN,NJ,UNK,66.9%,1.64x,1.57x,1.50x,3.0x,+100.6%,,
2,2,2,William Eklund,POINTS,1.5,DEMON,SJ,UNK,66.9%,1.64x,1.57x,1.50x,3.0x,+100.6%,,
3,2,1,Dmitry Orlov,POINTS,0.5,DEMON,SJ,UNK,65.2%,1.69x,1.61x,1.53x,3.0x,+95.5%,,
3,2,2,Dylan Larkin,POINTS,0.5,GOBLIN,DET,UNK,65.2%,1.69x,1.61x,1.53x,3.0x,+95.5%,,
4,2,1,Dmitry Orlov,POINTS,0.5,DEMON,SJ,UNK,65.2%,1.69x,1.61x,1.53x,3.0x,+95.5%,,
4,2,2,Jack Hughes,POINTS,0.5,GOBLIN,NJ,UNK,65.2%,1.69x,1.61x,1.53x,3.0x,+95.5%,,
5,2,1,Adrian Kempe,POINTS,0.5,GOBLIN,LA,UNK,64.9%,1.69x,1.62x,1.54x,3.0x,+94.7%,,
5,2,2,William Eklund,POINTS,1.5,DEMON,SJ,UNK,64.9%,1.69x,1.62x,1.54x,3.0x,+94.7%,,
6,2,1,Alex DeBrincat,SHOTS,1.5,GOBLIN,DET,UNK,63.6%,1.73x,1.65x,1.57x,3.0x,+90.7%,,
6,2,2,William Eklund,POINTS,1.5,DEMON,SJ,UNK,63.6%,1.73x,1.65x,1.57x,3.0x,+90.7%,,
7,2,1,Adrian Kempe,POINTS,0.5,GOBLIN,LA,UNK,63.2%,1.74x,1.66x,1.58x,3.0x,+89.7%,,
7,2,2,Dmitry Orlov,POINTS,0.5,DEMON,SJ,UNK,63.2%,1.74x,1.66x,1.58x,3.0x,+89.7%,,
8,2,1,Alex DeBrincat,SHOTS,1.5,GOBLIN,DET,UNK,61.9%,1.78x,1.70x,1.61x,3.0x,+85.8%,,
8,2,2,Dmitry Orlov,POINTS,0.5,DEMON,SJ,UNK,61.9%,1.78x,1.70x,1.61x,3.0x,+85.8%,,
9,3,1,Adrian Kempe,POINTS,0.5,GOBLIN,LA,UNK,61.7%,1.78x,1.70x,1.62x,4.3x,+167.0%,,
9,3,2,Dylan Larkin,POINTS,0.5,GOBLIN,DET,UNK,61.7%,1.78x,1.70x,1.62x,4.3x,+167.0%,,
9,3,3,William Eklund,POINTS,1.5,DEMON,SJ,UNK,61.7%,1.78x,1.70x,1.62x,4.3x,+167.0%,,
10,3,1,Adrian Kempe,POINTS,0.5,GOBLIN,LA,UNK,61.7%,1.78x,1.70x,1.62x,4.3x,+167.0%,,
10,3,2,Jack Hughes,POINTS,0.5,GOBLIN,NJ,UNK,61.7%,1.78x,1.70x,1.62x,4.3x,+167.0%,,
10,3,3,William Eklund,POINTS,1.5,DEMON,SJ,UNK,61.7%,1.78x,1.70x,1.62x,4.3x,+167.0%,,
11,3,1,Adrian Kempe,POINTS,0.5,GOBLIN,LA,UNK,60.1%,1.83x,1.75x,1.66x,4.3x,+160.2%,,
11,3,2,Dmitry Orlov,POINTS,0.5,DEMON,SJ,UNK,60.1%,1.83x,1.75x,1.66x,4.3x,+160.2%,,
11,3,3,Dylan Larkin,POINTS,0.5,GOBLIN,DET,UNK,60.1%,1.83x,1.75x,1.66x,4.3x,+160.2%,,
12,3,1,Adrian Kempe,POINTS,0.5,GOBLIN,LA,UNK,60.1%,1.83x,1.75x,1.66x,4.3x,+160.2%,,
12,3,2,Dmitry Orlov,POINTS,0.5,DEMON,SJ,UNK,60.1%,1.83x,1.75x,1.66x,4.3x,+160.2%,,
12,3,3,Jack Hughes,POINTS,0.5,GOBLIN,NJ,UNK,60.1%,1.83x,1.75x,1.66x,4.3x,+160.2%,,
13,4,1,Adrian Kempe,POINTS,0.5,GOBLIN,LA,UNK,55.7%,1.98x,1.89x,1.80x,7.5x,+317.6%,,
13,4,2,Alex DeBrincat,SHOTS,1.5,GOBLIN,DET,UNK,55.7%,1.98x,1.89x,1.80x,7.5x,+317.6%,,
13,4,3,Jack Hughes,POINTS,0.5,GOBLIN,NJ,UNK,55.7%,1.98x,1.89x,1.80x,7.5x,+317.6%,,
13,4,4,William Eklund,POINTS,1.5,DEMON,SJ,UNK,55.7%,1.98x,1.89x,1.80x,7.5x,+317.6%,,
14,4,1,Adrian Kempe,POINTS,0.5,GOBLIN,LA,UNK,54.3%,2.03x,1.94x,1.84x,7.5x,+306.9%,,
14,4,2,Alex DeBrincat,SHOTS,1.5,GOBLIN,DET,UNK,54.3%,2.03x,1.94x,1.84x,7.5x,+306.9%,,
14,4,3,Dmitry Orlov,POINTS,0.5,DEMON,SJ,UNK,54.3%,2.03x,1.94x,1.84x,7.5x,+306.9%,,
14,4,4,Jack Hughes,POINTS,0.5,GOBLIN,NJ,UNK,54.3%,2.03x,1.94x,1.84x,7.5x,+306.9%,,
