Player,Team,Opponent,Prop Type,Line,Probability (%),Expected Value,Confidence Tier,Model,Reasoning
Dylan Larkin,DET,ANA,POINTS,0.5,95.0,1.59,T1-ELITE,Statistical,"Points model: 1.59 PPG (std=0.48, confidence=95%) | Distance: +1.09 from 0.5 line"
Nathan MacKinnon,COL,VGK,POINTS,0.5,95.0,1.62,T1-ELITE,Statistical,"Points model: 1.62 PPG (std=0.49, confidence=95%) | Distance: +1.12 from 0.5 line | Underdog (GS: 1.05x)"
Mark Stone,VGK,COL,POINTS,0.5,95.0,2.58,T1-ELITE,Statistical,"Points model: 2.58 PPG (std=0.78, confidence=95%) | Distance: +2.08 from 0.5 line | Favorite (GS: 1.08x)"
Jack Eichel,VGK,COL,POINTS,0.5,95.0,2.27,T1-ELITE,Statistical,"Points model: 2.27 PPG (std=0.68, confidence=95%) | Distance: +1.77 from 0.5 line | Favorite (GS: 1.08x)"
Leo Carlsson,ANA,DET,POINTS,0.5,93.8,1.48,T1-ELITE,Statistical,"Points model: 1.48 PPG (std=0.44, confidence=94%) | Distance: +0.98 from 0.5 line"
Cutter Gauthier,ANA,DET,SHOTS,2.5,92.9,6.04,T1-ELITE,Statistical,"Shots model: 6.0 SOG (std=2.4, confidence=93%) | Distance: +3.5 from 2.5 line"
Mitch Marner,VGK,COL,POINTS,0.5,91.5,1.43,T1-ELITE,Statistical,"Points model: 1.43 PPG (std=0.43, confidence=92%) | Distance: +0.93 from 0.5 line | Favorite (GS: 1.08x)"
Cale Makar,COL,VGK,POINTS,0.5,91.4,1.43,T1-ELITE,Statistical,"Points model: 1.43 PPG (std=0.43, confidence=91%) | Distance: +0.93 from 0.5 line | Underdog (GS: 1.05x)"
Jack Eichel,VGK,COL,SHOTS,2.5,90.5,5.25,T1-ELITE,Statistical,"Shots model: 5.2 SOG (std=2.1, confidence=90%) | Distance: +2.7 from 2.5 line | Favorite (GS: 1.08x)"
Nathan MacKinnon,COL,VGK,SHOTS,2.5,87.7,4.67,T1-ELITE,Statistical,"Shots model: 4.7 SOG (std=1.9, confidence=88%) | Distance: +2.2 from 2.5 line | Underdog (GS: 1.05x)"
Troy Terry,ANA,DET,POINTS,0.5,87.1,1.34,T1-ELITE,Statistical,"Points model: 1.34 PPG (std=0.40, confidence=87%) | Distance: +0.84 from 0.5 line"
